"f_72-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3420.7,1,1.16,0.5,1.16,0
3419.8,1,1.17,0.5,1.17,0
3418.8,1,1.18,0.5,1.18,0
3417.9,1,1.19,0.5,1.19,0
3416.9,1,1.2,0.5,1.2,0
3415.9,1,1.21,0.5,1.21,0
3415,1,1.22,0.5,1.22,0
3414,1,1.23,0.5,1.23,0
3413,1,1.24,0.5,1.24,0
3412.1,1,1.25,0.5,1.25,0
3410.9,1,1.26,0.5,1.26,0
3409.7,1,1.27,0.5,1.27,0
3408.6,1,1.28,0.5,1.28,0
3407.4,1,1.29,0.5,1.29,0
3406.2,1,1.3,0.5,1.3,0
3405.1,1,1.31,0.5,1.31,0
3403.9,1,1.32,0.5,1.32,0
3402.7,1,1.33,0.5,1.33,0
